date:1010135,lat:47.1471977,long:2.3931928;
date:1010155,lat:47.1473083,long:2.3931406;
date:1010175,lat:47.1474152,long:2.3930964;
date:1010195,lat:47.1475296,long:2.3930495;
date:1010215,lat:47.1476402,long:2.3930171;
date:1010235,lat:47.147747,long:2.3929827;
date:1010255,lat:47.1478539,long:2.392952;
date:1010275,lat:47.1479721,long:2.392905;
date:1010295,lat:47.1480865,long:2.3928552;
date:1010315,lat:47.1481972,long:2.3928075;
date:1010335,lat:47.1483002,long:2.3927708;
date:1010355,lat:47.1484184,long:2.39273;
date:1010375,lat:47.1485176,long:2.3927073;
date:1010395,lat:47.1486359,long:2.3926558;
date:1010415,lat:47.1487465,long:2.3926191;
date:1010435,lat:47.1488571,long:2.392576;
date:1010455,lat:47.1489716,long:2.3925312;
date:1010475,lat:47.1490746,long:2.3924925;
date:1010495,lat:47.1491814,long:2.3924353;
date:1010515,lat:47.1492805,long:2.3923969;
date:1010535,lat:47.1493874,long:2.3923714;
date:1010555,lat:47.1495018,long:2.3923173;
date:1010575,lat:47.1496086,long:2.3922842;
date:1010595,lat:47.1497078,long:2.3922484;
date:1010615,lat:47.149807,long:2.392211;
date:1010635,lat:47.1499062,long:2.3921487;
date:1010655,lat:47.1500053,long:2.3920927;
date:1010675,lat:47.1501045,long:2.3920307;
date:1010695,lat:47.1502113,long:2.3919637;
date:1010715,lat:47.1503105,long:2.3918946;
date:1010735,lat:47.1504135,long:2.3918266;
date:1010755,lat:47.1505127,long:2.3917639;
date:1010775,lat:47.1506119,long:2.3916926;
date:1010795,lat:47.1507149,long:2.3916216;
date:1010815,lat:47.1508141,long:2.3915617;
date:1010835,lat:47.1509056,long:2.3914864;
date:1010855,lat:47.1510162,long:2.3913944;
date:1010875,lat:47.1511116,long:2.3913274;
date:1010895,lat:47.1512108,long:2.3912585;
date:1010915,lat:47.1513062,long:2.3911862;
date:1010935,lat:47.1514015,long:2.39113;
date:1010955,lat:47.1514015,long:2.39113;
date:1010975,lat:47.1514015,long:2.39113;
date:1010995,lat:47.1514015,long:2.39113;
date:1011015,lat:47.1518974,long:2.3908067;
date:1011035,lat:47.1519928,long:2.3907394;
date:1011055,lat:47.1520996,long:2.3906724;
date:1011075,lat:47.1522026,long:2.3905897;
date:1011095,lat:47.152317,long:2.3905177;
date:1011115,lat:47.1524239,long:2.3904545;
date:1011135,lat:47.1525307,long:2.3903801;
date:1011155,lat:47.1526413,long:2.3903067;
date:1011175,lat:47.1527596,long:2.3902323;
date:1011195,lat:47.1528702,long:2.390183;
date:1011215,lat:47.1529846,long:2.3901224;
date:1011235,lat:47.1531067,long:2.3900771;
date:1011255,lat:47.1532326,long:2.3900373;
date:1011275,lat:47.1533661,long:2.3899951;
date:1011295,lat:47.1534958,long:2.3899479;
date:1011315,lat:47.1536331,long:2.3899031;
date:1011335,lat:47.1537628,long:2.3898666;
date:1011355,lat:47.1538849,long:2.3898497;
date:1011375,lat:47.1540146,long:2.389816;
date:1011395,lat:47.1541481,long:2.3897951;
date:1011415,lat:47.154274,long:2.3897743;
date:1011435,lat:47.1544037,long:2.3897629;
date:1011455,lat:47.1545296,long:2.3897607;
date:1011475,lat:47.1546593,long:2.3897574;
date:1011495,lat:47.154789,long:2.3897376;
date:1011515,lat:47.1549187,long:2.3897123;
date:1011535,lat:47.1550407,long:2.389709;
date:1011555,lat:47.1551666,long:2.3897028;
date:1011575,lat:47.1552811,long:2.3897238;
date:1011595,lat:47.1553993,long:2.3897057;
date:1011615,lat:47.1555214,long:2.3896945;
date:1011635,lat:47.1556358,long:2.389658;
date:1011655,lat:47.1557503,long:2.3896587;
date:1011675,lat:47.1558723,long:2.3896368;
date:1011695,lat:47.155983,long:2.3896317;
date:1011715,lat:47.1560974,long:2.3896377;
date:1011735,lat:47.1562233,long:2.3895872;
